date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:03	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Feb%202026%2000:57:03%20GMT	https://map.jaquelinesalles.com.br/robots.txt		(from )
21:57:05	305012/305012	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2000:57:05%20GMT	https://map.jaquelinesalles.com.br/wp/	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/index.html	(from )
21:57:06	2307/2307	---M-Z	200	added ('OK')	application/json	date:Tue,%2024%20Feb%202026%2000:57:06%20GMT	https://map.jaquelinesalles.com.br/wp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmap.jaquelinesalles.com.br%2Fwp%2F	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-json/oembed/1.0/embed50d4.json	(from https://map.jaquelinesalles.com.br/wp/)
21:57:07	2456/2456	---M-Z	200	added ('OK')	text/xml	date:Tue,%2024%20Feb%202026%2000:57:07%20GMT	https://map.jaquelinesalles.com.br/wp/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmap.jaquelinesalles.com.br%2Fwp%2F&format=xml	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-json/oembed/1.0/embed1f7f	(from https://map.jaquelinesalles.com.br/wp/)
21:57:08	5456/5456	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jan%202026%2008:07:00%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.5	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/reset4c8b.css	(from https://map.jaquelinesalles.com.br/wp/)
21:57:09	5097/5097	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jan%202026%2008:07:00%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.5	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/theme4c8b.css	(from https://map.jaquelinesalles.com.br/wp/)
21:57:10	7182/7182	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jan%202026%2008:07:00%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.5	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/themes/hello-elementor/assets/css/header-footer4c8b.css	(from https://map.jaquelinesalles.com.br/wp/)
21:57:11	54511/54511	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jan%202026%2014:37:53%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.34.2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/css/frontend.mindba3.css	(from https://map.jaquelinesalles.com.br/wp/)
21:57:12	1800/1800	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2011%20Feb%202026%2018:00:47%20GMT	https://map.jaquelinesalles.com.br/wp/comments/feed/	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/comments/feed/index.html	(from https://map.jaquelinesalles.com.br/wp/)
21:57:12	1839/1839	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2011%20Feb%202026%2018:00:47%20GMT	https://map.jaquelinesalles.com.br/wp/feed/	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/feed/index.html	(from https://map.jaquelinesalles.com.br/wp/)
